featurecla,name,nameascii,adm0cap,worldcity,megacity,adm0name,adm0_a3,adm1name,latitude,longitude,pop_max,pop_min
Admin-0 capital,Managua,Managua,1,0,1,Nicaragua,NIC,Managua,12.15301658,-86.26849166,920000,920000
Admin-0 capital,Freetown,Freetown,1,0,1,Sierra Leone,SLE,Western,8.470011412,-13.23421574,827000,13768
Admin-0 capital,Islamabad,Islamabad,1,0,1,Pakistan,PAK,F.C.T.,33.69999595,73.16663448,780000,601600
Admin-0 capital,Kathmandu,Kathmandu,1,0,1,Nepal,NPL,Bhaktapur,27.71669191,85.31664221,895000,895000
Admin-0 capital,Bloemfontein,Bloemfontein,1,0,0,South Africa,ZAF,Orange Free State,-29.11999388,26.22991288,463064,456669
Admin-0 capital,Pretoria,Pretoria,1,0,1,South Africa,ZAF,Gauteng,-25.70692055,28.22942908,1338000,1338000
Admin-0 capital,Port Moresby,Port Moresby,1,0,0,Papua New Guinea,PNG,Central,-9.464707826,147.1925036,283733,251136
Admin-0 capital,Honiara,Honiara,1,0,0,Solomon Islands,SLB,Guadalcanal,-9.437994295,159.9497657,76328,56298
Admin-0 capital,Panama City,Panama City,1,0,1,Panama,PAN,Panama,8.96801719,-79.53303715,1281000,408168
Admin-0 capital,Rabat,Rabat,1,0,1,Morocco,MAR,Rabat - Sal?? - Zemmour - Zaer,34.02529909,-6.83613082,1705000,1655753
Admin-0 capital,Chi?Öin?âu,Chisinau,1,0,0,Moldova,MDA,Chisinau,47.00502362,28.85771114,688134,635994
Admin-0 capital,Maputo,Maputo,1,0,1,Mozambique,MOZ,Maputo,-25.95527749,32.58916296,1446000,1191613
Admin-0 capital,Mogadishu,Mogadishu,1,0,1,Somalia,SOM,Banaadir,2.066681334,45.36667761,1100000,875388
Admin-0 capital,Muscat,Muscat,1,0,0,Oman,OMN,Muscat,23.61332481,58.59331213,734697,586861
Admin-0 capital,Colombo,Colombo,1,0,0,Sri Lanka,LKA,Colombo,6.931965758,79.85775061,217000,217000
Admin-0 capital,Ulaanbaatar,Ulaanbaatar,1,0,1,Mongolia,MNG,Ulaanbaatar,47.9166734,106.9166158,885000,769612
Admin-0 capital,Windhoek,Windhoek,1,0,0,Namibia,NAM,Khomas,-22.57000608,17.0835461,268132,262796
Admin-0 capital,Abuja,Abuja,1,0,1,Nigeria,NGA,Federal Capital Territory,9.083333149,7.533328002,1576000,162135
Admin-0 capital,Bissau,Bissau,1,0,0,Guinea Bissau,GNB,Bissau,11.86502382,-15.59836084,403339,388028
Admin-0 capital,Amman,Amman,1,0,1,Jordan,JOR,Amman,31.95002525,35.93329993,1060000,1060000
Admin-0 capital,Vilnius,Vilnius,1,0,0,Lithuania,LTU,Vilniaus,54.68336631,25.31663529,542366,507029
Admin-0 capital,Riga,Riga,1,0,0,Latvia,LVA,Riga,56.95002382,24.09996537,742572,705033
Admin-0 capital,Bishkek,Bishkek,1,0,1,Kyrgyzstan,KGZ,Bishkek,42.87307945,74.58520422,837000,804212
Admin-0 capital,Maseru,Maseru,1,0,0,Lesotho,LSO,Maseru,-29.31667438,27.48327307,361324,118355
Admin-0 capital,Antananarivo,Antananarivo,1,0,1,Madagascar,MDG,Antananarivo,-18.91663735,47.5166239,1697000,1391433
Admin-0 capital,Quito,Quito,1,0,1,Ecuador,ECU,Pichincha,-0.214988181,-78.50005111,1701000,1399814
Admin-0 capital,San Jos??,San Jose,1,0,1,Costa Rica,CRI,San Jos??,9.93501243,-84.08405135,1284000,1724
Admin-0 capital,San Salvador,San Salvador,1,0,1,El Salvador,SLV,San Salvador,13.71000165,-89.20304122,1433000,2807
Admin-0 capital,Kingston,Kingston,1,0,0,Jamaica,JAM,Kingston,17.97707662,-76.76743371,937700,664973
Admin-0 capital,Ndjamena,Ndjamena,1,0,1,Chad,TCD,Hadjer-Lamis,12.11309654,15.04914831,989000,681387
Admin-0 capital,Malabo,Malabo,1,0,0,Equatorial Guinea,GNQ,Bioko Norte,3.750015278,8.783277546,155963,155963
Admin-0 capital,Asmara,Asmara,1,0,0,Eritrea,ERI,Anseba,15.33333925,38.93332353,620802,563930
Admin-0 capital,Zagreb,Zagreb,1,0,0,Croatia,HRV,Grad Zagreb,45.80000673,15.99999467,722526,698966
Admin-0 capital,Tallinn,Tallinn,1,0,0,Estonia,EST,Harju,59.43387738,24.72804073,394024,340027
Admin-0 capital,Lilongwe,Lilongwe,1,0,0,Malawi,MWI,Lilongwe,-13.98329507,33.78330196,646750,646750
Admin-0 capital,Guatemala,Guatemala,1,0,1,Guatemala,GTM,Guatemala,14.62113466,-90.52696558,1024000,994938
Admin-0 capital,Libreville,Libreville,1,0,0,Gabon,GAB,Estuaire,0.38538861,9.457965046,578156,483355
Admin-0 capital,Suva,Suva,1,0,0,Fiji,FJI,Central,-18.13301593,178.4417073,175399,88271
Admin-0 capital,Nouakchott,Nouakchott,1,0,0,Mauritania,MRT,Nouakchott,18.08642702,-15.97534041,742144,661400
Admin-0 capital,Bamako,Bamako,1,0,1,Mali,MLI,Bamako,12.65001467,-8.000039105,1494000,1297281
Admin-0 capital,Beirut,Beirut,1,0,1,Lebanon,LBN,Beirut,33.87197512,35.50970821,1846000,1712125
Admin-0 capital,Tbilisi,Tbilisi,1,0,1,Georgia,GEO,Tbilisi,41.72500999,44.79079545,1100000,1005257
Admin-0 capital,Astana,Astana,1,0,0,Kazakhstan,KAZ,Aqmola,51.1811253,71.42777421,345604,325021
Admin-0 capital,Vientiane,Vientiane,1,0,0,Laos,LAO,Vientiane [prefecture],17.96669273,102.59998,754000,570348
Admin-0 capital,Brazzaville,Brazzaville,1,0,1,Congo (Brazzaville),COG,Pool,-4.259185772,15.28468949,1355000,1163890
Admin-0 capital,Conakry,Conakry,1,0,1,Guinea,GIN,Conakry,9.531522846,-13.68023503,1494000,1494000
Admin-0 capital,Yamoussoukro,Yamoussoukro,1,0,0,Ivory Coast,CIV,Lacs,6.81838096,-5.275502565,206499,194530
Admin-0 capital,Ottawa,Ottawa,1,0,1,Canada,CAN,Ontario,45.4166968,-75.7000153,1145000,812129
Admin-0 capital,Belgrade,Belgrade,1,0,1,Serbia,SRB,Grad Beograd,44.81864545,20.46799068,1099000,1099000
Admin-0 capital,Bandar Seri Begawan,Bandar Seri Begawan,1,0,0,Brunei,BRN,Brunei and Muara,4.883331115,114.9332841,296500,140000
Admin-0 capital,Sucre,Sucre,1,0,0,Bolivia,BOL,Chuquisaca,-19.04097085,-65.25951563,224838,221736
Admin-0 capital,Belmopan,Belmopan,1,0,0,Belize,BLZ,Cayo,17.25203351,-88.767073,15220,13381
Admin-0 capital,Bangui,Bangui,1,0,0,Central African Republic,CAF,Bangui,4.366644306,18.55828813,831925,622771
Admin-0 capital,Yaounde,Yaounde,1,0,1,Cameroon,CMR,Centre,3.866700662,11.51665076,1611000,1060587
Admin-0 capital,Tirana,Tirana,1,0,0,Albania,ALB,Durr?½s,41.32754071,19.81888301,895350,421286
Admin-0 capital,Yerevan,Yerevan,1,0,1,Armenia,ARM,Erevan,40.18115074,44.51355139,1102000,1093485
Admin-0 capital,Baku,Baku,1,0,1,Azerbaijan,AZE,Baki,40.39527203,49.86221716,2122300,1892000
Admin-0 capital,Phnom Penh,Phnom Penh,1,0,1,Cambodia,KHM,Phnom Penh,11.55003013,104.9166345,1466000,1466000
Admin-0 capital,La Paz,La Paz,1,0,1,Bolivia,BOL,La Paz,-16.49797361,-68.14998519,1590000,812799
Admin-0 capital,Cotonou,Cotonou,1,0,1,Benin,BEN,Ou??m??,6.400008564,2.519990599,762000,690584
Admin-0 capital,Sofia,Sofia,1,0,1,Bulgaria,BGR,Grad Sofiya,42.68334943,23.31665401,1185000,874827
Admin-0 capital,Minsk,Minsk,1,0,1,Belarus,BLR,Minsk,53.89997744,27.56662716,1805000,1577138
Admin-0 capital,Thimphu,Thimphu,1,0,0,Bhutan,BTN,Thimphu,27.47298586,89.63901404,98676,79185
Admin-0 capital,Gaborone,Gaborone,1,0,0,Botswana,BWA,South-East,-24.64631346,25.91194779,208411,159243
Admin-0 capital,Canberra,Canberra,1,0,0,Australia,AUS,Australian Capital Territory,-35.28302855,149.1290262,327700,234032
Admin-0 capital,Ouagadougou,Ouagadougou,1,0,1,Burkina Faso,BFA,Kadiogo,12.37031598,-1.524723756,1149000,835457
Admin-0 capital,Sarajevo,Sarajevo,1,0,0,Bosnia and Herzegovina,BIH,Sarajevo,43.8500224,18.38300167,696731,628902
Admin-0 capital,Naypyidaw,Naypyidaw,1,0,1,Myanmar,MMR,Mandalay,19.76655703,96.11861853,930000,194824
Admin-0 capital,Nukualofa,Nukualofa,1,0,0,Tonga,TON,,-21.13851236,-175.2205645,42620,23658
Admin-0 capital,Hargeysa,Hargeysa,1,0,0,Somaliland,SOL,,9.560022399,44.06531002,477876,247018
Admin-0 capital,Victoria,Victoria,1,0,0,Seychelles,SYC,,-4.616631654,55.44998979,33576,22881
Admin-0 capital,S?úo Tom??,Sao Tome,1,0,0,Sao Tome and Principe,STP,,0.333402119,6.733325153,88219,56166
Admin-0 capital,Apia,Apia,1,0,0,Samoa,WSM,,-13.84154504,-171.7386416,61916,37708
Admin-0 capital,Valletta,Valletta,1,0,0,Malta,MLT,,35.89973248,14.51471065,368250,6966
Admin-0 capital,Mal??,Male,1,0,0,Maldives,MDV,,4.16670819,73.49994747,112927,103693
Admin-0 capital,Jerusalem,Jerusalem,1,0,0,Israel,ISR,Jerusalem,31.77840782,35.20662593,1029300,801000
Admin-0 capital,Praia,Praia,1,0,0,Cape Verde,CPV,,14.91669802,-23.51668889,113364,88859
Admin-0 capital,Nassau,Nassau,1,0,0,The Bahamas,BHS,,25.08339012,-77.35004378,227940,160966
Admin-0 capital,Nicosia,Nicosia,1,0,0,Cyprus,CYP,,35.16667645,33.36663489,224300,200452
