"count_yr","circle_name","num_sacr","lat","long"
"1965","Cocoa","62","28.3500003814697","-80.6999969482422"
"1965","Fort Pierce","5","27.4333000183105","-80.3332977294922"
"1965","Gainesville","120","29.6000003814697","-82.3167037963867"
"1965","Lakeland","1","28","-81.86669921875"
"1965","Myakka River S.P.","32","27.2332992553711","-82.2332992553711"
"1965","Okefenokee N.W.R.","27","30.7999992370605","-82.13330078125"
"1965","Sarasota","98","27.2999992370605","-82.4666976928711"
"1965","Stuart","3","27.1833000183105","-80.25"
"1965","West Palm Beach","69","26.5666999816895","-80.0999984741211"
"1965","Zellwood-Mount Dora","6","28.75","-81.61669921875"
"1966","Cocoa","22","28.3500003814697","-80.6999969482422"
"1966","Dauphin Island","1","30.2999992370605","-88.13330078125"
"1966","Fort Myers","27","26.5333003997803","-81.9832992553711"
"1966","Fort Pierce","6","27.4333000183105","-80.3332977294922"
"1966","Gainesville","250","29.6000003814697","-82.3167037963867"
"1966","Kissimmee Valley","17","28.2166996002197","-81.38330078125"
"1966","Myakka River S.P.","43","27.2332992553711","-82.2332992553711"
"1966","Okefenokee N.W.R.","18","30.7999992370605","-82.13330078125"
"1966","Sarasota","24","27.2999992370605","-82.4666976928711"
"1966","South Brevard County","24","27.88330078125","-80.5167007446289"
"1966","Stuart","33","27.1833000183105","-80.25"
"1966","West Palm Beach","65","26.5666999816895","-80.0999984741211"
"1966","Zellwood-Mount Dora","7","28.75","-81.61669921875"
"1967","Cocoa","8","28.3500003814697","-80.6999969482422"
"1967","Fort Myers","25","26.5333003997803","-81.9832992553711"
"1967","Fort Pierce","6","27.4333000183105","-80.3332977294922"
"1967","Gainesville","19","29.6000003814697","-82.3167037963867"
"1967","Kissimmee Valley","3","28.2166996002197","-81.38330078125"
"1967","Lakeland","3","28","-81.86669921875"
"1967","Myakka River S.P.","27","27.2332992553711","-82.2332992553711"
"1967","Sarasota","45","27.2999992370605","-82.4666976928711"
"1967","South Brevard County","4","27.88330078125","-80.5167007446289"
"1967","Stuart","19","27.1833000183105","-80.25"
"1967","Vero Beach","1","27.6833000183105","-80.4499969482422"
"1967","West Palm Beach","62","26.5666999816895","-80.0999984741211"
"1968","Bon Secour","15","30.2999992370605","-87.7166976928711"
"1968","Cocoa","12","28.3500003814697","-80.6999969482422"
"1968","Fort Myers","16","26.5333003997803","-81.9832992553711"
"1968","Fort Pierce","5","27.4333000183105","-80.3332977294922"
"1968","Gainesville","10","29.6000003814697","-82.3167037963867"
"1968","Kissimmee Valley","25","28.2166996002197","-81.38330078125"
"1968","Lakeland","1","28","-81.86669921875"
"1968","Myakka River S.P.","41","27.2332992553711","-82.2332992553711"
"1968","Okefenokee N.W.R.","17","30.7999992370605","-82.13330078125"
"1968","Sarasota","10","27.2999992370605","-82.4666976928711"
"1968","South Bend","4","41.6763648986816","-86.2519836425781"
"1968","Stuart","20","27.1833000183105","-80.25"
"1968","Vero Beach","2","27.6833000183105","-80.4499969482422"
"1968","West Palm Beach","47","26.5666999816895","-80.0999984741211"
"1969","Bombay Hook N.W.R.","1","39.2167015075684","-75.4499969482422"
"1969","Cocoa","15","28.3500003814697","-80.6999969482422"
"1969","Fort Myers","2","26.5333003997803","-81.9832992553711"
"1969","Fort Pierce","1","27.4333000183105","-80.3332977294922"
"1969","Gainesville","500","29.6000003814697","-82.3167037963867"
"1969","Kissimmee Valley","12","28.2166996002197","-81.38330078125"
"1969","Lake Wales","3","27.9167003631592","-81.5167007446289"
"1969","Myakka River S.P.","13","27.2332992553711","-82.2332992553711"
"1969","Okefenokee N.W.R.","18","30.7999992370605","-82.13330078125"
"1969","Sarasota","45","27.2999992370605","-82.4666976928711"
"1969","South Brevard County","13","27.88330078125","-80.5167007446289"
"1969","Stuart","31","27.1833000183105","-80.25"
"1969","West Palm Beach","60","26.5666999816895","-80.0999984741211"
"1969","Zephyrhills","9","28.25","-82.1667022705078"
"1970","Carnestown","6","25.88330078125","-81.38330078125"
"1970","Cocoa","10","28.3500003814697","-80.6999969482422"
"1970","Fort Lauderdale","4","26.13330078125","-80.2166976928711"
"1970","Fort Myers","3","26.5333003997803","-81.9832992553711"
"1970","Gainesville","600","29.6000003814697","-82.3167037963867"
"1970","Kissimmee Valley","35","28.2166996002197","-81.38330078125"
"1970","Lake Wales","41","27.9167003631592","-81.5167007446289"
"1970","Myakka River S.P.","36","27.2332992553711","-82.2332992553711"
"1970","Okefenokee N.W.R.","61","30.7999992370605","-82.13330078125"
"1970","Sarasota","89","27.2999992370605","-82.4666976928711"
"1970","South Brevard County","9","27.88330078125","-80.5167007446289"
"1970","Stuart","25","27.1833000183105","-80.25"
"1970","Waterloo State Recreation Area","1","42.3166999816895","-84.2166976928711"
"1970","West Palm Beach","16","26.5666999816895","-80.0999984741211"
"1970","Zellwood-Mount Dora","5","28.75","-81.61669921875"
"1970","Zephyrhills","17","28.25","-82.1667022705078"
"1971","Cocoa","46","28.3500003814697","-80.6999969482422"
"1971","Fort Myers","2","26.5333003997803","-81.9832992553711"
"1971","Fort Pierce","4","27.4333000183105","-80.3332977294922"
"1971","Gainesville","570","29.6000003814697","-82.3167037963867"
"1971","Lake Kissimmee S.P.","7","27.9666996002197","-81.36669921875"
"1971","Lake Wales","35","27.9167003631592","-81.5167007446289"
"1971","Myakka River S.P.","37","27.2332992553711","-82.2332992553711"
"1971","Okefenokee N.W.R.","51","30.7999992370605","-82.13330078125"
"1971","Sarasota","38","27.2999992370605","-82.4666976928711"
"1971","South Brevard County","2","27.88330078125","-80.5167007446289"
