"count_yr","long","lat","sum_count","wstdev_long","wstdev_lat"
"1965","-81.8793569085722","28.2949863723104","423","0.93849682486748","1.30622819209823"
"1966","-81.8542421682557","28.5254633604591","537","0.939095798780309","1.31505960917183"
"1967","-81.7000760039593","27.3864980412824","222","1.03934307074439","0.85893659894971"
"1968","-82.1663936546871","28.1846205421856","225","1.93507943675366","2.27895464451174"
"1969","-82.0611530420192","29.0272400927346","723","0.81169093014413","1.1908552970874"
"1970","-82.188547156323","29.0761934258472","958","0.548132573612829","1.18334948381522"
"1971","-82.154009993552","29.1802405140054","848","0.602464441165791","0.990965395787974"
"1972","-82.2766425372345","29.2815780508107","1016","0.459384730343123","1.06231834835987"
"1973","-82.3673572153554","29.4125171067361","1234","0.855665993095282","0.968390423476337"
"1974","-81.9290778331268","28.9755310743283","781","0.770301775646515","1.22416044331561"
"1975","-81.8889492104907","29.0245258895629","873","0.914915823596454","0.978733637913434"
"1976","-82.0647440766056","29.1579613140148","1085","1.48891570000582","1.12253310108324"
"1977","-82.1553416464493","28.7247517427452","989","1.53526717568465","1.0409660371911"
"1978","-81.9248598360639","28.7240040409464","824","1.101297411343","0.939407342607656"
"1979","-81.7187867999077","28.8477617919445","1281","1.03243907290651","0.960454867919557"
"1980","-81.914914241127","28.8484021572697","955","0.874906316507069","1.14912483822774"
"1981","-82.2885163797463","29.2546841764881","1882","0.737325778963053","0.797926750876245"
"1982","-81.8900790882037","28.5620949310751","1294","0.882181397531897","1.04886047087322"
"1983","-82.2056288353027","29.5887739504741","2267","1.42247609365029","2.1366024554503"
"1984","-82.2759166268359","29.3157673679521","2345","1.21285592765209","1.64036192004175"
"1985","-82.2109650599129","29.0318743231585","2320","1.11767213876146","1.26461118228851"
"1986","-82.2608621996368","29.3970617178124","2644","1.1591317721124","1.62802952061299"
"1987","-82.1326711777302","29.2902879378543","3998","1.23740170207704","2.02625027302736"
"1988","-82.1224219941523","29.0043651718859","3013","1.20686442986833","1.83748207247865"
"1989","-82.2731838650174","29.3597326983828","4951","1.17241090334899","1.98184591721146"
"1990","-82.4209029971641","29.7851525040482","4246","1.44092245036701","3.11420353015649"
"1991","-82.6238130974719","30.4577914634816","8948","1.27301944332667","2.773302563642"
"1992","-82.3567618014671","29.7126486707473","7869","1.23989585311726","2.71193459811784"
"1993","-82.4809672440418","29.7582166821292","9159","1.38710390377298","2.41958872184366"
"1994","-83.6559342293","32.6660807260124","10724","1.69607489748815","3.95632736348601"
"1995","-83.5086315764431","32.2117019868985","9641","1.74780698157158","3.56457459646257"
"1996","-83.1798540002509","31.4829063180428","13793","1.77456278653551","4.02407175743923"
"1997","-83.4833453487286","32.3186561996219","13407","1.66276800743515","3.59749524909397"
"1998","-85.2729223350724","36.527950578701","19961","2.56902443143683","5.55995896676718"
"1999","-84.6004329671004","34.3489151886849","22759","2.70538765527228","5.18795236515243"
"2000","-83.310894103418","31.5248484119732","23233","1.94992432525102","3.39939030073491"
"2001","-84.2439018844909","34.5300134976305","21490","1.60918970390686","3.94642025297308"
"2002","-84.0586204946185","32.89077747065","24404","2.17674059860127","3.38868748801162"
"2003","-84.4958844304871","34.1961010888396","37911","2.06660943447116","3.97681144383461"
"2004","-83.9937058906879","33.4506806571096","32426","1.77989089963966","3.88616965021454"
"2005","-84.3981458083312","33.3618984758","34260","2.1422506795737","3.17941588981163"
"2006","-83.7456780962808","32.8195305186474","26087","2.0349880632055","4.34090538937101"
"2007","-83.7695488907778","32.9109234060991","27998","2.07669807668727","4.33704702027076"
"2008","-84.0222661492814","32.3765580767304","32848","2.20990498331808","3.36716973408099"
"2009","-84.1019033692178","33.3358442283627","38746","2.16654603994337","4.06661441459865"
"2010","-84.0035975638946","32.4748825589251","40683","2.20200788626917","3.40597833334471"
"2011","-85.1323200406636","35.7220374989423","55827","2.9219357683867","5.52500891744569"
"2012","-85.3740042413798","35.4488872058351","46194","3.09291614604362","4.98486408570731"
