count_yr,circle_name,num_sacr,lat,long
1974,Gainesville,971,29.60000038,-82.3167038
1974,Gulf Shores,23,30.31669998,-87.63330078
1974,Kissimmee Valley,7,28.2166996,-81.38330078
1974,Lake Wales,12,27.91670036,-81.51670074
1974,Myakka River S.P.,17,27.23329926,-82.23329926
1974,New Port Richey,2,28.25,-82.69999695
1974,Okefenokee N.W.R.,55,30.79999924,-82.13330078
1974,Sarasota,64,27.29999924,-82.46669769
1974,South Brevard County,6,27.88330078,-80.51670074
1974,Stuart,15,27.18330002,-80.25
1974,Venice-Englewood,2,27,-82.38330078
1974,Waterloo State Recreation Area,2,42.31669998,-84.21669769
1974,West Palm Beach,4,26.56669998,-80.09999847
1975,Bradenton,1,27.48329926,-82.61669922
1975,Cocoa,123,28.35000038,-80.69999695
1975,Fort Myers,1,26.5333004,-81.98329926
1975,Fort Pierce,3,27.43330002,-80.33329773
1975,Gainesville,407,29.60000038,-82.3167038
1975,Kissimmee Valley,23,28.2166996,-81.38330078
1975,Lake Wales,12,27.91670036,-81.51670074
1975,Marshall,1,42.34999847,-84.98329926
1975,Myakka River S.P.,57,27.23329926,-82.23329926
1975,Okefenokee N.W.R.,38,30.79999924,-82.13330078
1975,Sarasota,34,27.29999924,-82.46669769
1975,South Brevard County,51,27.88330078,-80.51670074
1975,Stuart,12,27.18330002,-80.25
1975,Waterloo State Recreation Area,1,42.31669998,-84.21669769
1975,West Palm Beach,12,26.56669998,-80.09999847
1975,Zellwood-Mount Dora,5,28.75,-81.61669922
1976,Cocoa,125,28.35000038,-80.69999695
1976,Fort Pierce,23,27.43330002,-80.33329773
1976,Gainesville,392,29.60000038,-82.3167038
1976,Gulf Shores,8,30.31669998,-87.63330078
1976,Kissimmee Valley,41,28.2166996,-81.38330078
1976,Lake Wales,14,27.91670036,-81.51670074
1976,Merritt Island N.W.R.,2,28.61669922,-80.69999695
1976,Myakka River S.P.,56,27.23329926,-82.23329926
1976,Okefenokee N.W.R.,62,30.79999924,-82.13330078
1976,Orlando,1,28.5333004,-81.38330078
1976,South Brevard County,29,27.88330078,-80.51670074
1976,Stuart,14,27.18330002,-80.25
1976,Tampa,2,28.01069069,-82.45952606
1976,West Palm Beach,11,26.56669998,-80.09999847
1976,West Volusia County,32,29.04999924,-81.30000305
1976,Zellwood-Mount Dora,61,28.75,-81.61669922
1977,Cocoa,186,28.35000038,-80.69999695
1977,Cumberland County,1,39.33330154,-75.19999695
